Gene;(Intercept);Generation ;Selection;Generation:Selection;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL23;meanNL23;meanWNL9DIVmeanNL9;meanWNL23DIVmeanNL23
gene-LOC117897448;0;0.303086084;0.260700247;6.91E-07;1270.773229;1309.007226;1490.538647;1438.723435;1558.238071;1592.784707;1484.757044;1583.796412;1510.785635;1315.742354;1477.358805;1453.726648;1415.609269;1526.446363;1529.915404;1356.773034;0.927388805;1.127613363
gene-LOC117900068;0;0.000242595;0.914067058;7.09E-07;11372.49955;10532.56218;11929.53608;13962.60584;13219.06815;13699.40975;17428.31806;15864.7074;13485.63854;14575.32678;12533.69187;11931.04587;13013.35484;15592.888;13627.02791;11278.19927;0.834569891;1.208262736
gene-LOC117898974;0;0.003436381;0.006124063;9.86E-07;3805.41331;4058.594673;4099.634642;3488.94231;3243.065909;3122.94354;3109.097793;3133.916102;3565.829448;3347.733533;3461.240629;3551.19871;3453.390957;3269.614448;3284.98392;3987.880875;1.056207395;0.823741737
gene-LOC117893595;0;1.74E-12;0.221816113;1.02E-06;812.6502714;728.9335912;759.643308;1020.171897;979.9322994;915.3815123;1483.72309;1047.94034;1145.991898;1225.93059;1041.492077;917.086189;1061.502952;1225.88511;971.8285696;767.0757235;0.865907371;1.26692651
gene-LOC117897625;0;0.949212746;0.135776314;1.07E-06;1088.905321;996.8815121;944.3272316;1169.817365;1234.93327;1051.070904;1106.330109;1185.618702;1062.711013;1036.203237;1138.759178;955.0191944;1043.327203;1118.219942;1151.940513;1010.038022;0.933025038;1.140492227
gene-LOC117893064;0;0.019680958;0.399816974;1.27E-06;909.3395388;932.5355956;1039.282645;1014.094924;1111.986373;1084.47137;1043.258954;1143.027554;1116.667643;1024.976766;1026.81025;1008.571673;1020.119563;1100.984717;1070.184222;960.3859265;0.926551974;1.114327264
gene-LOC117897872;6.50E-47;1.23E-05;0.864639534;1.48E-06;371.7932545;68.18746374;169.8743636;284.8581246;78.32172653;131.5143336;246.0809028;64.38196796;92.66464684;308.7279415;74.32674733;121.6087526;168.2211471;134.3758392;164.8980616;203.2850273;1.251870486;0.811166783
gene-LOC117896126;0;0.001526263;0.55638504;1.48E-06;1099.264885;1149.583015;1281.462507;1285.279858;1354.237295;1338.106156;1266.592882;1357.964278;1598.7584;1164.185001;1290.165515;1385.670373;1280.006963;1407.771854;1325.874436;1176.770136;0.909243185;1.126706394
gene-LOC117897632;0;3.07E-29;0.010225288;1.58E-06;1352.498681;1445.382154;1364.221812;1447.838895;1475.362756;1391.338148;1257.287302;1353.011819;1142.472988;1110.297942;1163.534761;1058.777121;1110.869941;1250.924036;1438.179933;1387.367549;0.888039489;1.036625034
gene-LOC117900644;0;0.916786843;0.151268124;1.76E-06;1243.147724;1220.65164;1397.325535;1423.531001;1617.434725;1680.460929;1346.207292;1608.558707;1540.10989;1175.411472;1533.333269;1332.117895;1346.954212;1498.291963;1573.808885;1287.041633;0.89899315;1.22281117
gene-LOC117892254;0;0.0207093;0.358320645;1.83E-06;940.4182319;847.0611692;1068.030614;1140.19212;1143.861494;1183.629002;1028.783606;1079.636078;997.0246812;904.8535305;980.0119278;837.8731484;907.5795355;1035.148122;1155.894206;951.8366718;0.876762964;1.214382929
gene-LOC117896512;0;4.94E-22;6.85E-08;1.90E-06;3749.011238;3283.562514;3408.81223;2929.101143;2659.295831;2660.555844;2641.750868;2469.296094;2362.362009;2868.363239;2153.640444;2368.581483;2463.528389;2491.136324;2749.650939;3480.461994;0.988917533;0.790024699
gene-LOC117894130;0;0.008552352;0.900429746;2.11E-06;774.665202;629.0533626;623.7438172;815.0740472;698.5205145;730.6351866;762.023636;680.4678767;681.4956938;676.9561773;647.8356002;583.498877;636.0968848;707.9957355;748.0765828;675.8207939;0.898447339;1.106915605
gene-LOC117897764;0;0.001736289;0.147109451;2.11E-06;1055.524503;998.8022857;1078.484421;1293.635697;1286.844181;1252.517463;1345.173338;1480.785263;1225.753873;1262.977943;1310.353027;1067.702534;1213.677835;1350.570825;1277.66578;1044.270403;0.898640643;1.223500902
gene-LOC117901442;0;1.57E-05;0.921119567;2.13E-06;31589.76494;29658.66557;30519.01836;38126.17102;34487.97049;33518.41107;31793.03227;33676.7217;27698.51861;28898.05798;28850.70695;23488.34007;27079.035;31056.09086;35377.51752;30589.14962;0.871939586;1.156538118
gene-LOC117891863;2.23E-85;0.627758723;0.17001743;2.14E-06;24.17231685;33.61353846;27.00566806;6.836594991;9.107177504;19.83152649;4.135813493;18.81934448;17.5945532;15.71705884;23.85796828;25.66056247;21.74519653;13.51657039;11.92509966;28.26384113;1.608780623;0.421920701
gene-LOC117894989;0;0.405022889;0.00986439;2.22E-06;343.0166868;363.9866022;361.5274918;461.090351;443.5195444;418.5495854;378.4269346;430.8639394;388.2531405;372.718824;378.0570358;373.7516707;374.8425102;399.1813382;441.0531603;356.1769269;0.939028142;1.238297955
gene-LOC117895834;0;0.169432718;0.005791693;2.66E-06;1269.622166;1400.243974;1500.121303;1649.138636;1773.16746;1629.316466;1719.46446;1547.148215;1608.142162;1566.092649;1554.438395;1517.320215;1545.95042;1624.918279;1683.874187;1389.995814;0.95140195;1.211423927
gene-LOC117897233;0;0.040084113;0.255883324;2.86E-06;725.1695056;648.2610989;618.5169137;932.8154054;793.2351606;731.6789511;716.5296876;790.4124681;679.1497534;727.475295;681.7873243;524.3680156;644.543545;728.697303;819.2431724;663.9825061;0.884514794;1.233832465
gene-LOC117901040;0;0.009215049;0.977617299;2.87E-06;1304.154047;1293.641037;1383.387125;1681.042746;1566.434531;1427.869907;1675.004465;1837.362316;1608.142162;1359.52559;1623.259457;1371.166577;1451.317208;1706.836314;1558.449061;1327.060737;0.850296655;1.174361518
gene-LOC117892342;0;9.47E-22;1.62E-05;3.07E-06;2683.127171;2280.918681;2290.254882;2215.056777;1718.524395;1771.268445;1866.285839;1486.728214;1584.682758;2045.462944;1341.551909;1626.656525;1671.223792;1645.898937;1901.616539;2418.100245;1.015386641;0.786409308
gene-LOC117891450;0;1.27E-06;0.588390011;3.21E-06;817.2545222;782.7152528;885.0889919;996.6236253;955.3429201;966.5259754;836.4682789;851.8229607;782.3711322;818.4097068;680.8697101;676.1000372;725.1264847;823.5541239;972.8308403;828.3529223;0.88048431;1.174415897
gene-LOC117898155;0;4.20E-07;0.000147338;3.33E-06;2470.18057;2784.161371;2560.311562;2184.67191;1892.471485;1971.671239;1988.292337;1867.077071;1965.898077;2119.55765;1820.546502;2033.878495;1991.327549;1940.422495;2016.271545;2604.884501;1.026234005;0.774034912
gene-LOC117894098;0;0.078910392;0.159152863;3.33E-06;5860.060243;4897.01236;5325.343512;6270.67685;6372.292099;6330.432009;5488.224505;5876.587937;6038.450657;5001.392653;5569.917979;5358.594849;5309.968494;5801.0877;6324.466986;5360.805372;0.915340151;1.179760605
gene-LOC117897388;0;0.006083509;0.403960493;3.34E-06;330.354997;337.0957714;338.0064261;366.8972645;422.5730362;338.1797149;414.6153026;438.7878739;402.3287831;340.1620592;389.9860199;334.7029887;354.950356;418.5773199;375.8833385;335.1523982;0.847992328;1.12152961
