Gene;(Intercept);Generation ;Selection;Generation:Selection;meanWPT9DIVmeanPT9;meanWPT23DIVmeanPT23;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;C_PT1_G9_C;W_PT1_G9_C;W_PT2_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT3_G9_C;meanWPT9;meanPT9
gene-LOC117901220;0;5.60E-05;0.074849922;0.00018059;1.105330857;0.772122213;1417.203505;1094.191601;1423.050207;1131.239343;883.9325117;1022.700766;946.2569567;1235.727466;878.5768234;918.4382956;855.9790041;892.9409168;1002.415069;906.8914188
gene-LOC117891369;2.44E-06;0.002805839;0.56813579;0.000181174;0.353024923;2.150561275;8.367253167;2.214962754;9.417936514;11.20831621;7.015337395;24.78789972;10.26309064;2.261166453;1.802208869;0;13.73793463;4.409584774;2.824320032;8.000341757
gene-LOC117894532;1.69E-08;0.021485351;0.868889926;0.000182264;3.494342608;0.318084685;6.275439875;2.214962754;6.59255556;0;0;4.79765801;4.105236255;5.652916132;9.912148777;2.22651708;3.170292608;17.6383391;11.06780134;3.167348648
gene-LOC117894422;0;0.000777076;0.559725187;0.000188197;0.869047492;1.108125371;673.5638799;743.1200041;704.4616512;722.9363957;879.9237475;747.63504;926.7570845;742.7931797;774.048709;948.4962762;793.6299161;802.5444289;773.1287725;889.627759
gene-LOC117903004;7.60E-13;0.074515871;0.036282329;0.000189069;0.656575845;4.460772976;2.091813292;5.537406886;2.825380954;10.4077222;17.03724796;19.19063204;2.052618127;0;3.604417737;7.792809781;7.397349418;7.716773355;3.773730364;5.747592442
gene-LOC117891847;0;1.03E-11;0.558489011;0.000213965;0.934178831;1.095862193;9312.752775;8261.811074;8576.914783;9993.815092;9090.875073;9573.72656;8561.470209;7822.505343;7783.740103;7395.376482;8518.576237;7258.176538;7621.473995;8158.47431
gene-LOC117889641;0;0.13547234;0.716779849;0.000221209;1.21174001;0.791446202;1977.809467;1716.596135;1766.80489;1112.025087;1494.266865;1715.962348;1284.938948;1738.837002;1569.723925;1314.758336;1449.880486;1598.474481;1635.678469;1349.859257
gene-LOC117893243;4.17366894980851e-319;2.38E-05;0.669397071;0.000221772;0.868439751;1.127904342;135.967864;108.533175;105.480889;141.7051407;136.2979837;116.7430116;130.3412511;118.7112388;73.89056361;109.0993369;100.3925992;102.522846;98.37488279;113.2777291
gene-LOC117891969;0;0.002433648;0.002147636;0.000224648;0.973647069;1.338239088;2776.882145;3004.596976;3027.866589;3247.209326;4550.949587;3990.851855;2926.007141;2918.035307;3050.23851;2838.809277;3291.820491;2849.69416;2939.322659;3018.87897
gene-LOC117894567;0;0.882830523;0.004838354;0.000238364;1.474027773;0.950063975;126.5547041;105.2107308;87.58680958;104.077222;84.18404874;115.1437922;88.26257948;133.4088207;114.4402632;87.94742467;82.4276078;133.3899394;127.0796744;86.21253732
gene-LOC117898956;6.87E-13;0.057304675;0.193682763;0.000250833;1.737424659;0.313345564;9.413159813;5.537406886;15.06869842;2.401782046;3.006573169;3.998048342;10.26309064;11.30583226;4.505522171;2.22651708;7.397349418;18.74073529;11.51736324;6.628985712
gene-LOC117895325;0;0.000164306;0.949996161;0.000254275;0.91691227;1.094393818;705.9869859;533.8060238;642.3032702;793.3886691;592.2949143;674.0709505;669.1535095;677.2193526;469.4754103;519.8917383;687.9534959;574.3484168;573.6810599;625.6662479
gene-LOC117903302;0;0.006420872;0.016449648;0.000257466;1.041028673;0.823828234;390.1231789;372.1137427;364.4741431;289.0144395;341.7471502;297.4547966;319.1821188;332.3914685;316.2876564;316.1654254;283.2128063;307.568538;318.749221;306.1867835
gene-LOC117895731;0;0.640420061;0.236960189;0.000266443;0.563121655;1.340390323;24.05585285;19.93466479;16.95228572;24.81841447;36.07887803;20.78985138;32.84189004;22.61166453;13.51656651;41.19056599;25.36234086;19.84313148;18.65712084;33.13159896
gene-LOC117894866;0;0.000113753;0.225353312;0.00027489;1.030453676;0.941835952;4596.759708;4743.342738;5178.923289;4171.094819;4668.205941;4835.239665;4071.368056;4317.697341;4501.016649;4594.417995;4562.051063;4811.959385;4543.557792;4409.279038
gene-LOC117900067;2.12E-23;0.004846387;0.037862519;0.000285721;1.548411931;0.213968415;8.367253167;5.537406886;16.95228572;2.401782046;1.002191056;3.198438674;11.2893997;6.783499358;9.912148777;6.679551241;6.340585215;20.94552768;12.5470586;8.103178719
gene-LOC117889597;0;7.63E-10;0.345651649;0.000288269;1.09696949;0.854170556;3602.102488;3295.864578;3780.359717;3067.075672;3137.860198;2916.176461;2402.589518;2975.695052;2902.457383;2765.334214;2452.749714;2481.493832;2786.548755;2540.224482
gene-LOC117897741;0;0.000115372;0.548251077;0.000291798;1.204420074;0.771128117;439.2807913;312.3097484;397.4369209;287.4132515;271.5937763;327.0403544;212.4459762;290.5598892;327.1009096;253.8229472;258.9072296;255.7559169;291.1389052;241.7253843
