Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;WPT-PT;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;WPT23-PT23;meanWPT23DIVmeanPT23
gene-LOC117900014;0;1.50E-15;5674.930893;5426.966995;5460.162183;5565.255789;5554.365804;5096.718163;5405.446585;5520.68669;-550.9581273;0.979125766;7829.725961;6993.379088;7461.769021;7197.624694;6600.557042;6833.817951;6877.333229;7428.291357;-550.9581273;0.925829763
gene-LOC117896228;1.23E-103;2.95E-15;1511.75237;1693.188664;542.9280039;1394.822596;1516.977035;1114.93957;1342.2464;1249.289679;-802.3061792;1.074407659;1805.328167;2825.287591;737.9114967;812.0703623;1727.855497;421.6828579;987.2029056;1789.509085;-802.3061792;0.551661299
gene-LOC117892379;0;3.04E-15;792.0098011;774.0887178;1110.760962;785.93719;881.8062499;962.1938876;876.6457758;892.2864937;249.7618498;0.982471193;805.317957;973.0633206;1048.611074;1038.357056;1147.645241;1390.275604;1192.092634;942.3307839;249.7618498;1.265046897
gene-LOC117890507;0;3.87E-15;1793.985209;2157.433246;2001.362128;1782.39327;2119.206783;1810.088285;1903.896113;1984.260194;-338.1878314;0.959499222;2969.056863;2868.717437;2990.483434;2675.306462;2582.734094;2555.653684;2604.564747;2942.752578;-338.1878314;0.885077721
gene-LOC117902095;0;5.23E-15;7479.658529;8017.347434;8419.866953;6857.5179;8900.837415;8391.66073;8050.005348;7972.290972;-1299.932146;1.009748061;11507.86086;9714.200291;10639.46887;9984.793635;8883.072252;9093.867693;9320.57786;10620.51001;-1299.932146;0.877601721
gene-LOC117897312;0;7.51E-15;1230.496115;1575.301838;1570.00832;1196.17913;1806.689242;1432.899969;1478.589447;1458.602091;-325.4422139;1.01370309;1972.365271;2063.504605;2443.771677;1584.006858;1815.153187;2104.154867;1834.438304;2159.880518;-325.4422139;0.849323974
gene-LOC117896887;0;9.86E-15;1126.001604;1026.55431;846.7684465;1236.12374;1142.800628;802.1746018;1060.366323;999.7747869;-229.1722299;1.060605186;1692.495157;1225.425943;1359.310652;1399.561855;1086.9627;1103.190507;1196.571687;1425.743917;-229.1722299;0.839261296
gene-LOC117890291;0;1.02E-14;342.7810607;274.3737639;260.007723;559.2245391;191.7337344;393.813697;381.5906568;292.3875158;158.1055289;1.305085327;579.6519361;529.3746171;522.8117891;728.3869811;662.1849162;715.5830316;702.051643;543.9461141;158.1055289;1.290663955
gene-LOC117903904;0;1.08E-14;967.7949604;965.0027816;610.6694797;1239.362492;663.8886134;1014.148201;972.4664355;847.8224072;170.8743191;1.147016671;638.2808533;693.7037665;600.4866835;789.0147369;839.9741139;816.1054098;815.0314202;644.1571011;170.8743191;1.265268083
gene-LOC117896129;0;1.18E-14;2893.619039;2751.040362;2537.316745;3490.295241;2646.263392;2750.461361;2962.339998;2727.325382;-427.9950246;1.086170362;4327.477813;3664.540032;4093.865267;3992.892759;3184.23647;3624.768809;3600.632679;4028.627704;-427.9950246;0.893761584
gene-LOC117898277;0;1.42E-14;1325.224784;1233.117068;1318.96638;1309.535455;1436.736045;1058.828911;1268.366804;1292.436078;-260.9162948;0.981376817;1828.558493;1855.745609;1871.168289;1611.332044;1611.813445;1549.578017;1590.907836;1851.82413;-260.9162948;0.859103092
gene-LOC117896697;0;1.96E-14;8634.957659;8661.030371;8081.159574;8859.066733;9644.122377;8740.793718;9081.327609;8459.049201;1643.186815;1.073563635;10943.69581;11042.91884;10135.57789;12473.09336;12343.04167;12235.61796;12350.58433;10707.39751;1643.186815;1.153462764
gene-LOC117891693;0;2.70E-14;2639.707142;2491.272046;2663.833913;2655.776769;2718.057962;2457.439033;2610.424588;2598.271034;-362.8910581;1.004677554;3711.321079;3426.262766;3624.828405;3337.088303;3118.230899;3218.419873;3224.579692;3587.47075;-362.8910581;0.898844873
gene-LOC117893953;0;2.78E-14;6500.144558;5874.519636;5722.162302;6245.393742;5023.085985;5617.300385;5628.593371;6032.275499;479.9793339;0.933079627;5871.741368;5746.825112;5560.725772;6349.690026;6100.192234;6169.347994;6206.410084;5726.430751;479.9793339;1.083818238
gene-LOC117900655;0;2.90E-14;106759.2102;82842.09825;101933.9856;86482.23967;103054.7706;89156.71937;92897.9099;97178.43134;7842.682892;0.955951939;75964.27119;80294.74375;74359.76973;86138.37834;88089.75676;79918.69824;84715.61111;76872.92822;7842.682892;1.102021389
gene-LOC117891910;0;3.94E-14;9045.123031;9510.232819;11025.92137;8818.042539;12021.78961;9541.929233;10127.25379;9860.42574;784.1990597;1.0270605;12854.11354;11854.00057;10991.99339;13643.80678;12444.17924;11964.71866;12684.23489;11900.03583;784.1990597;1.065898882
gene-LOC117902938;0;4.34E-14;7024.570283;8340.753772;7875.942751;7494.472491;7596.710164;8331.393727;7807.525461;7747.088935;-1511.020782;1.007801192;12674.90817;11248.33028;13381.99014;11044.49849;10302.19202;11425.47574;10924.05542;12435.0762;-1511.020782;0.878487212
gene-LOC117896489;0;5.79E-14;4083.098617;3660.751093;3838.351558;3709.450804;3838.897898;3445.610077;3664.652926;3860.733756;-442.3941123;0.949211512;5456.914123;5090.682293;5123.555534;4915.117777;4622.519142;4806.332695;4781.323205;5223.717317;-442.3941123;0.91531048
gene-LOC117894807;0;7.13E-14;2353.567966;1864.281049;1776.221341;1821.258296;1928.31769;1666.69438;1805.423455;1998.023452;-305.0827061;0.903604737;1670.371037;1527.08731;1171.098408;1370.528845;1240.26596;842.5138312;1151.102879;1456.185585;-305.0827061;0.790491879
gene-LOC117891188;0;8.09E-14;1650.427329;1581.561316;2044.19865;1617.21691;1400.416439;2499.002483;1838.878611;1758.729098;260.6243114;1.045572404;934.7440572;953.1090667;1154.169264;1113.501317;1290.302441;1420.091564;1274.631774;1014.007463;260.6243114;1.257024056
